product_id,Type,air_temp,process_temp,speed,torque,tool_wear,air_temp_phase,process_temp_phase,speed_phase,torque_phase,tool_wear_phase,in_pocket,target_real,target
M14860,M,298.1,308.6,1551,42.8,0,-1.88964,-1.85228,0.787141,0.644122,-3.14159,0,0,0
L47181,L,298.2,308.7,1408,46.3,3,-1.76122,-1.66981,-1.82516,1.45885,-3.01923,0,0,0
L47182,L,298.1,308.5,1498,49.4,5,-1.79442,-1.97552,-0.0893121,2.04447,-2.94583,0,0,0
L47183,L,298.2,308.6,1433,39.5,7,-1.73753,-1.92409,-1.37606,-0.17594,-2.94213,0,0,0
L47184,L,298.2,308.7,1408,40,9,-1.77696,-1.6531,-1.87543,-0.0288181,-2.83906,0,0,0
M14865,M,298.1,308.6,1425,41.9,11,-1.80858,-1.94691,-1.53916,0.443565,-2.79092,0,0,0
L47186,L,298.1,308.6,1558,42.4,14,-1.83985,-1.90488,0.875469,0.528261,-2.66013,0,0,0
L47187,L,298.1,308.6,1527,40.2,16,-1.82477,-1.89283,0.431436,0.010005,-2.6484,0,0,0
M14868,M,298.3,308.7,1667,28.6,18,-1.59152,-1.649,2.04549,-2.3443,-2.5417,0,0,0
M14869,M,298.5,309,1741,28,21,-1.47639,-1.31328,2.49587,-2.43405,-2.43148,0,0,0
H29424,H,298.4,308.9,1782,23.9,24,-1.46979,-1.55174,2.63823,-2.77977,-2.3917,0,0,0
H29425,H,298.6,309.1,1423,44.3,29,-1.29796,-1.17723,-1.56028,1.05073,-2.26069,0,0,0
M14872,M,298.6,309.1,1339,51.1,34,-1.30818,-1.29324,-2.76865,2.31454,-2.11048,0,0,0
M14873,M,298.6,309.2,1742,30,37,-1.3124,-1.08944,2.52016,-2.16872,-2.02306,0,0,0
L47194,L,298.6,309.2,2035,19.6,40,-1.29491,-1.14663,3.01326,-3.01505,-1.91479,0,0,0
L47195,L,298.6,309.2,1542,48.4,42,-1.29343,-1.11019,0.633828,1.8922,-1.8416,0,0,0
M14876,M,298.6,309.2,1311,46.6,44,-1.30887,-1.10909,-2.94887,1.53602,-1.81382,0,0,0
M14877,M,298.7,309.2,1410,45.6,47,-1.22206,-1.10136,-1.8244,1.34248,-1.74089,0,0,0
H29432,H,298.8,309.2,1306,54.5,50,-1.13868,-1.08713,-2.98911,2.73129,-1.65039,0,0,0
M14879,M,298.9,309.3,1632,32.5,55,-0.931124,-0.94222,1.78288,-1.72677,-1.5471,0,0,0
H29434,H,298.9,309.3,1375,42.7,58,-0.948253,-0.999118,-2.35386,0.681068,-1.43129,0,0,0
L47201,L,298.8,309.3,1450,44.8,63,-1.15131,-0.913551,-1.00959,1.1309,-1.28055,0,0,0
M14882,M,298.9,309.3,1581,30.7,65,-0.927486,-0.914173,1.19921,-2.02634,-1.20912,0,0,0
L47203,L,299,309.4,1758,25.7,68,-0.8112,-0.907436,2.5423,-2.63803,-1.14,0,0,0
M14884,M,299,309.4,1561,37.3,70,-0.788953,-0.920055,0.943561,-0.7088,-1.0892,0,0,0
L47205,L,299,309.5,1861,23.3,73,-0.789765,-0.711416,2.83023,-2.86832,-0.968498,0,0,0
L47206,L,299.1,309.5,1512,39,75,-0.713401,-0.664575,0.161269,-0.299971,-0.898959,0,0,0
H29441,H,299.1,309.4,1811,24.6,77,-0.672055,-0.908294,2.70729,-2.74361,-0.88564,0,0,0
L47208,L,299.1,309.4,1439,44.2,82,-0.680174,-0.925375,-1.24729,0.976563,-0.755508,0,0,0
L47209,L,299,309.4,1693,30.1,84,-0.825718,-0.888748,2.24661,-2.11288,-0.66795,0,0,0
M14890,M,299.1,309.5,1339,48.2,86,-0.715406,-0.676007,-2.77675,1.87286,-0.62797,0,0,0
L47211,L,299,309.4,1798,25.5,89,-0.803649,-0.916328,2.6583,-2.63822,-0.550951,0,0,0
L47212,L,299,309.4,1419,48.3,91,-0.819989,-0.882638,-1.61082,1.86184,-0.49206,0,0,0
L47213,L,298.9,309.3,1665,32.5,93,-0.951035,-0.964818,2.06899,-1.7029,-0.422372,0,0,0
M14894,M,298.8,309.1,1559,34.7,95,-1.18843,-1.28618,0.901847,-1.28369,-0.398842,0,0,0
M14895,M,298.8,309.2,1452,48.6,98,-1.19834,-1.09264,-0.998173,1.93886,-0.267397,0,0,0
M14896,M,298.9,309.2,1581,36.7,101,-0.946588,-1.13454,1.22494,-0.815626,-0.200635,0,0,0
L47217,L,298.8,309.1,1439,39.2,104,-1.1742,-1.21583,-1.2314,-0.201264,-0.117143,0,0,0
H29452,H,298.9,309.2,1379,50.7,106,-0.964776,-1.09659,-2.26806,2.26699,-0.0322021,0,0,0
