record_id,date,facility_id,facility_name,energy_cost,maintenance_cost,security_cost,occupancy_cost,vendor_cost,operational_cost,budget,savings_target,energy_savings,maintenance_savings,vendor_savings,other_savings
R001,2024-01,F001,Alpha Tower,12000,5500,3200,2800,4100,27600,30000,2500,1600,900,700,300
R002,2024-02,F001,Alpha Tower,11400,5100,3100,2900,4000,26500,30000,2500,1500,850,650,280
R003,2024-03,F001,Alpha Tower,12600,5400,3300,2750,4300,28350,30000,2500,1700,950,750,320
R004,2024-04,F001,Alpha Tower,11900,5800,3150,2850,3950,27650,30000,2500,1550,1000,690,300
R005,2024-05,F001,Alpha Tower,12400,5300,3050,2800,4200,27750,30000,2500,1620,880,720,310
R006,2024-06,F001,Alpha Tower,13200,5600,3400,2950,4500,29650,30000,2500,1780,1050,810,340
R007,2024-07,F001,Alpha Tower,13800,5900,3350,2900,4600,30550,30500,2600,1900,1150,850,360
R008,2024-08,F001,Alpha Tower,13500,5700,3450,3000,4450,30100,30500,2600,1850,1080,830,350
R009,2024-09,F001,Alpha Tower,12100,5450,3250,2780,4150,27730,30500,2600,1650,960,700,315
R010,2024-10,F001,Alpha Tower,11700,5250,3180,2820,4080,27030,30500,2600,1580,920,680,305
R011,2024-11,F001,Alpha Tower,12500,5550,3280,2880,4250,28460,30500,2600,1690,990,740,330
R012,2024-12,F001,Alpha Tower,13100,6100,3320,2920,4700,30140,30500,2600,1800,1200,880,370
R013,2024-01,F002,Beta Campus,9800,4200,2400,2100,3000,21500,24000,2000,1300,700,520,260
R014,2024-02,F002,Beta Campus,9400,4000,2300,2050,2900,20650,24000,2000,1250,650,490,240
R015,2024-03,F002,Beta Campus,10200,4300,2500,2150,3150,22300,24000,2000,1400,760,560,270
R016,2024-04,F002,Beta Campus,9900,4400,2350,2080,2980,21710,24000,2000,1310,720,530,255
R017,2024-05,F002,Beta Campus,10100,4100,2450,2120,3080,21850,24000,2000,1350,690,540,265
R018,2024-06,F002,Beta Campus,10800,4600,2600,2200,3300,23500,24000,2000,1480,820,600,290
R019,2024-07,F002,Beta Campus,11500,5100,2650,2180,3500,24930,24500,2100,1600,940,680,320
R020,2024-08,F002,Beta Campus,11200,4800,2700,2250,3400,24350,24500,2100,1550,880,650,310
R021,2024-09,F002,Beta Campus,10000,4350,2480,2090,3120,22040,24500,2100,1370,740,560,270
R022,2024-10,F002,Beta Campus,9700,4150,2390,2140,3050,21430,24500,2100,1300,680,530,260
R023,2024-11,F002,Beta Campus,10300,4450,2520,2160,3250,22680,24500,2100,1420,780,580,280
R024,2024-12,F002,Beta Campus,10900,4900,2580,2190,3450,24020,24500,2100,1520,860,640,300
